, #    , Problem                                                                                                                                                         , Solution                                                                               
157, 157  , [Read N Characters Given Read4](https://leetcode.com/problems/read-n-characters-given-read4)                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/157.py)  
158, 158  , [Read N Characters Given Read4 II - Call multiple times](https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times)                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/158.py)  
159, 159  , [Longest Substring with At Most Two Distinct Characters](https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters)                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/159.py)  
160, 160  , [Intersection of Two Linked Lists](https://leetcode.com/problems/intersection-of-two-linked-lists)                                                              , [python](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python/160.py)    
161, 161  , [One Edit Distance](https://leetcode.com/problems/one-edit-distance)                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/161.py)  
162, 162  , [Find Peak Element](https://leetcode.com/problems/find-peak-element)                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/162.py)  
163, 163  , [Missing Ranges](https://leetcode.com/problems/missing-ranges)                                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/163.py)  
164, 164  , [Maximum Gap](https://leetcode.com/problems/maximum-gap)                                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/164.py)  
165, 165  , [Compare Version Numbers](https://leetcode.com/problems/compare-version-numbers)                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/165.py)  
166, 166  , [Fraction to Recurring Decimal](https://leetcode.com/problems/fraction-to-recurring-decimal)                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/166.py)  
167, 167  , [Two Sum II - Input array is sorted](https://leetcode.com/problems/two-sum-ii-input-array-is-sorted)                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/167.py)  
168, 168  , [Excel Sheet Column Title](https://leetcode.com/problems/excel-sheet-column-title)                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/168.py)  
169, 169  , [Majority Element](https://leetcode.com/problems/majority-element)                                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/169.py)  
170, 170  , [Two Sum III - Data structure design](https://leetcode.com/problems/two-sum-iii-data-structure-design)                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/170.py)  
171, 171  , [Excel Sheet Column Number](https://leetcode.com/problems/excel-sheet-column-number)                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/171.py)  
